start_station_name,start_lat,start_lng,starts_2013,starts_2018,starts_2023,end_station_name,end_lat,end_lng,ends_2013,ends_2018,ends_2023
Bond St & Bergen St,40.68515371388852,-73.98607290770703,,1514.0,1495.0,Bond St & Bergen St,40.6849668,-73.98620772,,1515.0,1506
Bond St & Fulton St,40.68983602558332,-73.98299233266525,,2574.0,3589.0,Bond St & Fulton St,40.689621888086684,-73.9830426877209,,2791.0,3603
Boone Ave & E 172 St,40.83262283963368,-73.88566296446065,,,576.0,Boone Ave & E 172 St,40.832649,-73.885272,,,594
Borden Ave & Review Ave,40.73841117494875,-73.94114455226641,,,319.0,Borden Ave & Review Ave,40.7386634531721,-73.94093804048184,,,307
Boston Rd & E 167 St,40.82774088297586,-73.90432972696517,,,1091.0,Boston Rd & E 167 St,40.828199,-73.903719,,,1082
Boston Rd & Prospect Ave,40.83274843134417,-73.89745670349052,,,1230.0,Boston Rd & Prospect Ave,40.833246,-73.896599,,,1245
Botanical Sq & Webster Ave,40.86734544389429,-73.88183717749872,,,391.0,Botanical Sq & Webster Ave,40.86814,-73.88145,,,405
Bradhurst Ave & W 148 St,40.8242840032841,-73.9420262507428,,,1029.0,Bradhurst Ave & W 148 St,40.825125,-73.941616,,,1045
Bradley Ave & Greenpoint Ave,40.735838345664284,-73.93505060181849,,,487.0,Bradley Ave & Greenpoint Ave,40.73565914787965,-73.93478840503892,,,474
Brevoort Pl & Bedford Ave,40.68039979206128,-73.95380002753,,,1039.0,Brevoort Pl & Bedford Ave,40.68012,-73.95362,,,1032
Bridge St & Water St,40.70311279117859,-73.98455803169571,,,2279.0,Bridge St & Water St,40.70296934066634,-73.98469090486485,,,2312
Bridge St & York St,40.701333593443515,-73.9846135734716,,,805.0,Bridge St & York St,40.701334479700826,-73.984712361559,,,992
